var,name,source,FC,MER,BR,FT
1,Sh int/ext rot (R),Vicon PIG,25.988126754760742,27.284631729125977,11.257445335388184,35.2393684387207
1,Sh int/ext rot (R),OpenSim IK,35.743193045563544,-93.07009992006395,-36.2942,32.7783
1,Sh int/ext rot (R),Cardan A,167.79954810477224,110.9074895163539,138.46757543106867,160.93179614504905
1,Sh int/ext rot (R),Cardan B,167.79954810477224,110.9074895163539,138.46757543106867,160.93179614504905
3,Sh abd/add (R),Vicon PIG,47.835304260253906,86.15794372558594,60.705196380615234,45.457637786865234
3,Sh abd/add (R),OpenSim IK,-63.716802637889685,-84.48557370103917,-95.1966,-61.024
3,Sh abd/add (R),Cardan A,-59.33327438192305,-59.53923837997512,-50.67211413685645,-47.231203124523915
3,Sh abd/add (R),Cardan B,-59.33327438192305,-59.53923837997512,-50.67211413685645,-47.231203124523915
4,Lead knee flex (L),Vicon PIG,60.02185821533203,42.956302642822266,29.09986114501953,50.99405288696289
4,Lead knee flex (L),OpenSim IK,89.2012581135092,38.982609992006395,45.9464,82.278
4,Lead knee flex (L),Cardan A,-58.98679361387621,-42.20316653254557,-33.3309478769886,-46.631153959405836
4,Lead knee flex (L),Cardan B,-56.00163848232039,-35.35806822227157,-33.166495913936615,-43.74702591421885
5,Elbow flex (R),Vicon PIG,126.61870574951172,35.12972640991211,75.29916381835938,119.62612915039062
5,Elbow flex (R),OpenSim IK,96.28095427657874,5.0913291766586735,41.5925,87.3666
5,Elbow flex (R),Cardan A,20.729131291859193,-5.115437133388064,31.014009991741023,25.35509856811595
5,Elbow flex (R),Cardan B,20.729131291859193,-5.115437133388064,31.014009991741023,25.35509856811595
6,Trunk axial rot,Vicon PIG,-18.834869384765625,113.21917724609375,87.54911804199219,-40.162532806396484
6,Trunk axial rot,OpenSim IK,37.627578497202215,-67.6233,-67.5679,65.6807
6,Trunk axial rot,Cardan A,-12.844967330843835,11.867766800361508,18.144379733795546,-8.917753416179815
6,Trunk axial rot,Cardan B,-12.844967330843835,11.867766800361508,18.144379733795546,-8.917753416179815
7,Trunk lateral tilt,Vicon PIG,-43.065059661865234,17.67094612121582,10.98538875579834,-52.065616607666016
7,Trunk lateral tilt,OpenSim IK,-4.898289848121505,24.97499992006395,20.276,1.9711
7,Trunk lateral tilt,Cardan A,21.804077027507663,6.357061628663212,1.400519988661752,19.859056858272957
7,Trunk lateral tilt,Cardan B,21.804077027507663,6.357061628663212,1.400519988661752,19.859056858272957
8,Trunk forward tilt,Vicon PIG,51.251285552978516,-31.309907913208008,-17.759742736816406,50.11346435546875
8,Trunk forward tilt,OpenSim IK,-61.35193717026379,-66.94322725819345,-63.1831,-59.2437
8,Trunk forward tilt,Cardan A,9.98553313721403,-14.006642357027458,-30.2682844669241,15.846128716578185
8,Trunk forward tilt,Cardan B,9.98553313721403,-14.006642357027458,-30.2682844669241,15.846128716578185
2,Sh horz add/abd (R),Vicon PIG,33.7223014831543,14.830741882324219,-28.93364715576172,21.00193214416504
2,Sh horz add/abd (R),OpenSim IK,-65.98994132693845,-87.51711191047163,-85.8952,-57.9419
2,Sh horz add/abd (R),Cardan A,-143.8461238389753,-179.31177160944858,-101.12419835490225,-144.3477567294456
2,Sh horz add/abd (R),Cardan B,-143.8461238389753,-179.31177160944858,-101.12419835490225,-144.3477567294456
